orderkey,partkey,suppkey,linenumber,quantity,extendedprice,sale,returnflag,linestatus,shipdate,commitdate,receiptdate,shipinstruct,shipmode,comment
951,83,5,1,30,19310.73,0.02,A,F,5/21/1998,12/25/1995,6/5/1998,COLLECT COD,TRUCK,line comment 553
1267,24,9,2,10,90667.86,0,A,F,8/7/1994,4/16/1997,9/15/1995,DELIVER IN PERSON,TRUCK,line comment 554
1322,121,3,3,4,58062.37,0.02,N,F,5/11/1994,5/31/1995,3/24/1995,TAKE BACK RETURN,AIR,line comment 555
373,45,3,4,46,76679.97,0.02,A,O,8/27/1996,8/15/1997,12/3/1994,DELIVER IN PERSON,REG AIR,line comment 556
1133,141,3,5,28,84077.88,0.01,N,O,8/26/1995,8/24/1996,1/29/1997,COLLECT COD,AIR,line comment 557
547,107,2,6,37,89935.48,0.04,R,F,6/15/1996,7/13/1998,6/16/1995,COLLECT COD,AIR,line comment 558
535,65,10,7,26,31058.14,0,R,O,9/24/1996,1/10/1995,1/5/1998,TAKE BACK RETURN,RAIL,line comment 559
114,85,4,1,12,60317.05,0.1,A,F,10/26/1994,11/29/1998,8/1/1998,DELIVER IN PERSON,MAIL,line comment 560
498,34,3,2,32,74558.94,0.06,N,O,10/27/1998,7/6/1994,2/1/1997,TAKE BACK RETURN,REG AIR,line comment 561
92,68,9,3,47,90692.88,0.04,R,F,6/4/1993,10/26/1998,8/25/1998,TAKE BACK RETURN,SHIP,line comment 562
379,61,9,4,44,22811.45,0.06,R,O,1/3/1997,6/15/1993,4/8/1995,DELIVER IN PERSON,SHIP,line comment 563
225,118,2,5,20,25485.7,0.08,R,O,8/6/1996,5/11/1995,1/19/1994,DELIVER IN PERSON,AIR,line comment 564
1360,7,2,6,10,67794.96,0.02,R,O,11/27/1996,5/12/1998,2/10/1996,COLLECT COD,RAIL,line comment 565
963,22,4,7,40,86559.08,0,A,F,8/30/1997,1/16/1994,4/17/1994,COLLECT COD,TRUCK,line comment 566
323,31,8,1,4,66793.9,0.02,R,F,4/29/1995,7/26/1994,8/8/1993,DELIVER IN PERSON,FOB,line comment 567
784,104,2,2,50,78523.49,0.01,N,O,4/7/1994,6/21/1993,5/11/1994,DELIVER IN PERSON,TRUCK,line comment 568
1276,192,4,3,9,76128.08,0.1,N,F,3/22/1995,2/28/1995,11/3/1997,TAKE BACK RETURN,SHIP,line comment 569
1067,27,3,4,14,56686.25,0.02,R,O,5/19/1996,2/16/1994,1/5/1994,NONE,RAIL,line comment 570
1181,171,6,5,36,71970.49,0.02,N,O,2/5/1993,3/20/1996,3/19/1997,COLLECT COD,RAIL,line comment 571
136,190,1,6,38,21049.69,0.06,N,F,4/8/1997,6/10/1994,7/27/1998,DELIVER IN PERSON,AIR,line comment 572
565,49,7,7,7,24713.22,0.1,R,F,8/5/1994,2/10/1997,5/6/1997,NONE,AIR,line comment 573
320,7,3,1,9,22959.91,0,R,O,11/3/1993,9/27/1997,5/20/1994,NONE,FOB,line comment 574
341,154,10,2,11,50772.26,0.1,N,F,9/5/1993,12/16/1993,11/2/1997,TAKE BACK RETURN,AIR,line comment 575
577,136,2,3,38,3228.68,0.04,R,F,6/3/1994,12/6/1995,10/12/1994,DELIVER IN PERSON,MAIL,line comment 576
121,32,1,4,45,74810.02,0.05,A,F,10/20/1995,7/20/1997,7/27/1998,TAKE BACK RETURN,SHIP,line comment 577
760,114,10,5,28,93821.08,0.05,A,F,9/23/1993,3/4/1997,3/13/1996,TAKE BACK RETURN,AIR,line comment 578
281,65,8,6,12,99307.38,0.05,R,O,3/12/1994,3/29/1994,6/30/1993,DELIVER IN PERSON,AIR,line comment 579
55,189,7,7,8,83854.8,0.01,A,O,4/29/1995,2/16/1994,1/15/1998,TAKE BACK RETURN,SHIP,line comment 580
1058,11,9,1,49,99040.96,0.1,N,O,10/2/1997,2/9/1997,1/9/1998,DELIVER IN PERSON,MAIL,line comment 581
950,22,4,2,38,4071.66,0.01,A,O,9/7/1993,8/1/1997,1/30/1998,DELIVER IN PERSON,MAIL,line comment 582
98,74,6,3,4,48965.5,0.04,A,F,11/23/1993,7/9/1998,5/14/1996,COLLECT COD,AIR,line comment 583
1158,112,3,4,26,19106.73,0.04,R,F,3/13/1993,1/5/1998,10/11/1997,TAKE BACK RETURN,FOB,line comment 584
684,51,4,5,17,52526.92,0.04,A,F,1/23/1993,10/4/1994,12/6/1997,NONE,AIR,line comment 585
724,150,2,6,28,93466.68,0.08,A,O,11/20/1993,7/21/1994,4/30/1998,DELIVER IN PERSON,RAIL,line comment 586
206,80,6,7,4,102850.56,0.08,A,O,10/10/1997,10/5/1993,4/23/1994,DELIVER IN PERSON,TRUCK,line comment 587
77,6,5,1,38,51432.27,0.1,A,O,10/31/1995,10/6/1993,1/10/1996,DELIVER IN PERSON,SHIP,line comment 588
87,66,10,2,16,70375.19,0.01,A,O,12/7/1994,5/4/1996,7/29/1998,TAKE BACK RETURN,AIR,line comment 589
407,119,10,3,39,55962,0.1,R,O,9/24/1993,8/26/1997,4/15/1997,NONE,RAIL,line comment 590
994,74,1,4,27,95385.28,0.01,R,F,6/5/1995,12/27/1995,10/14/1995,COLLECT COD,AIR,line comment 591
1411,132,10,5,12,80206.4,0.08,A,F,5/14/1995,4/12/1994,1/2/1998,DELIVER IN PERSON,RAIL,line comment 592
1353,36,1,6,46,86485.91,0.05,N,F,10/31/1997,7/28/1993,10/13/1998,TAKE BACK RETURN,AIR,line comment 593
113,41,1,7,35,88744.3,0.01,A,F,8/10/1997,1/25/1994,12/9/1993,COLLECT COD,SHIP,line comment 594
172,114,1,1,44,73924.06,0.1,A,F,4/4/1994,9/13/1998,5/6/1993,DELIVER IN PERSON,FOB,line comment 595
330,195,2,2,26,93937.72,0.05,R,F,7/21/1994,11/8/1998,10/3/1998,COLLECT COD,FOB,line comment 596
1105,45,1,3,29,102090.62,0.06,N,F,2/17/1993,7/11/1993,9/12/1997,TAKE BACK RETURN,SHIP,line comment 597
1154,22,5,4,31,70258.07,0.02,A,F,4/7/1997,1/10/1994,12/11/1993,COLLECT COD,FOB,line comment 598
1147,130,3,5,32,71065.13,0.05,R,F,10/1/1997,5/9/1998,7/24/1993,NONE,RAIL,line comment 599
1190,109,2,6,38,37800.42,0.01,R,F,12/29/1993,6/30/1993,7/18/1998,COLLECT COD,MAIL,line comment 600
726,28,8,7,32,30462.42,0.04,A,F,3/26/1997,1/15/1995,4/14/1996,DELIVER IN PERSON,FOB,line comment 601
786,140,4,1,27,73944.25,0.05,A,F,3/22/1997,10/25/1997,4/15/1993,NONE,TRUCK,line comment 602
314,144,6,2,33,33404.56,0.01,N,F,2/17/1993,8/7/1994,10/17/1994,NONE,FOB,line comment 603
1,129,10,3,49,26200.59,0.08,N,F,5/28/1994,12/30/1998,6/27/1997,COLLECT COD,FOB,line comment 604
983,39,9,4,3,92498.78,0.02,R,O,6/7/1997,10/7/1997,4/1/1993,DELIVER IN PERSON,RAIL,line comment 605
733,170,10,5,20,8584.41,0.01,A,O,10/14/1995,4/18/1995,7/27/1997,DELIVER IN PERSON,MAIL,line comment 606
383,64,1,6,14,50335.24,0.08,R,F,10/31/1996,9/25/1998,1/22/1994,TAKE BACK RETURN,SHIP,line comment 607
571,193,5,7,50,87267.62,0,R,O,1/15/1997,12/10/1995,5/26/1994,DELIVER IN PERSON,TRUCK,line comment 608
58,146,7,1,21,68562.23,0.04,R,O,1/26/1996,4/10/1998,6/7/1998,DELIVER IN PERSON,AIR,line comment 609
1120,139,1,2,34,14091.18,0.05,R,F,6/21/1993,8/19/1994,2/1/1994,NONE,RAIL,line comment 610
1275,48,7,3,29,29084.03,0.01,A,F,8/30/1996,12/22/1995,9/26/1997,COLLECT COD,REG AIR,line comment 611
781,146,5,4,38,42085.86,0.1,A,O,9/7/1998,9/2/1996,10/25/1996,NONE,SHIP,line comment 612
1480,154,3,5,43,6029.72,0.01,N,F,7/7/1994,1/19/1997,10/7/1995,TAKE BACK RETURN,REG AIR,line comment 613
866,175,1,6,3,37448.71,0.01,N,F,11/18/1993,4/29/1995,9/22/1997,NONE,MAIL,line comment 614
1187,67,6,7,27,102438.67,0.02,R,O,10/10/1998,4/2/1997,6/12/1998,DELIVER IN PERSON,RAIL,line comment 615
1087,149,5,1,2,62717.91,0.05,N,O,5/8/1996,4/16/1996,3/22/1997,TAKE BACK RETURN,REG AIR,line comment 616
841,13,6,2,18,82633.06,0.08,R,F,7/31/1998,10/25/1994,2/28/1993,NONE,SHIP,line comment 617
1101,8,10,3,28,90921.81,0.1,R,F,10/24/1996,7/30/1996,6/24/1995,COLLECT COD,AIR,line comment 618
497,95,5,4,33,84687.78,0,R,F,6/20/1994,6/20/1994,1/25/1995,TAKE BACK RETURN,SHIP,line comment 619
1237,156,6,5,45,30990.27,0.01,N,O,9/30/1996,2/7/1993,10/9/1997,COLLECT COD,AIR,line comment 620
926,110,8,6,12,13221.01,0.02,A,F,1/12/1995,6/26/1996,7/2/1997,COLLECT COD,AIR,line comment 621
162,46,5,7,21,64711.07,0.08,A,O,3/1/1994,1/14/1994,3/6/1997,NONE,FOB,line comment 622
222,122,10,1,34,67431.43,0,A,F,3/3/1993,5/25/1998,7/19/1998,COLLECT COD,MAIL,line comment 623
560,115,3,2,6,18889.12,0.06,A,F,2/25/1993,12/14/1995,11/4/1994,TAKE BACK RETURN,RAIL,line comment 624
1083,65,4,3,10,76903,0.02,A,F,4/16/1995,11/2/1996,7/23/1995,TAKE BACK RETURN,SHIP,line comment 625
945,142,6,4,45,62158.63,0.08,A,O,7/16/1993,2/18/1997,12/21/1995,COLLECT COD,SHIP,line comment 626
519,93,5,5,9,13740.38,0.04,N,O,8/21/1996,10/25/1997,11/9/1995,NONE,REG AIR,line comment 627
404,20,2,6,24,30575.78,0.1,N,O,8/20/1994,9/24/1994,1/7/1998,NONE,AIR,line comment 628
924,113,7,7,35,64867.51,0.1,N,O,12/14/1993,4/17/1996,11/13/1994,TAKE BACK RETURN,MAIL,line comment 629
973,91,1,1,2,20838.91,0.08,A,O,10/26/1993,10/3/1993,5/5/1997,COLLECT COD,AIR,line comment 630
1247,59,6,2,3,27425.46,0.04,A,O,5/3/1997,12/29/1995,7/29/1995,NONE,AIR,line comment 631
1055,18,7,3,15,92578.1,0,R,F,3/2/1994,9/1/1998,3/19/1996,DELIVER IN PERSON,AIR,line comment 632
521,172,6,4,28,36832.67,0.02,R,F,11/7/1995,10/18/1997,8/8/1993,COLLECT COD,AIR,line comment 633
923,181,9,5,35,92360.8,0.01,N,O,6/10/1995,8/5/1996,9/14/1995,DELIVER IN PERSON,MAIL,line comment 634
1275,146,10,6,35,48398.13,0.05,R,O,5/1/1997,9/7/1993,6/7/1996,NONE,TRUCK,line comment 635
921,175,3,7,38,74055.22,0.1,R,F,1/29/1996,8/11/1995,5/30/1993,DELIVER IN PERSON,AIR,line comment 636
549,34,4,1,47,103544.88,0.08,A,O,12/18/1994,1/16/1998,10/29/1994,COLLECT COD,MAIL,line comment 637
62,101,3,2,37,83343.89,0.02,A,O,8/10/1998,12/8/1994,10/19/1998,DELIVER IN PERSON,REG AIR,line comment 638
249,12,2,3,37,58860.62,0.04,N,O,8/20/1994,8/1/1995,12/21/1994,DELIVER IN PERSON,RAIL,line comment 639
778,30,1,4,5,72867.74,0.08,N,F,11/13/1997,5/2/1997,5/14/1994,DELIVER IN PERSON,FOB,line comment 640
191,74,1,5,6,85995.2,0.04,A,O,4/21/1997,3/31/1996,7/31/1996,COLLECT COD,REG AIR,line comment 641
863,193,9,6,6,62251.28,0,A,O,2/6/1996,3/10/1995,7/13/1996,NONE,TRUCK,line comment 642
407,188,1,7,38,33820.61,0.01,R,F,1/15/1993,1/18/1995,1/15/1993,NONE,AIR,line comment 643
679,6,1,1,18,99066.85,0.08,R,F,11/2/1993,5/17/1997,9/25/1997,NONE,RAIL,line comment 644
178,182,2,2,5,2257.01,0.08,A,O,5/10/1996,3/1/1996,1/7/1993,TAKE BACK RETURN,FOB,line comment 645
86,134,10,3,21,11364.47,0.05,N,F,4/7/1998,3/9/1995,10/27/1997,TAKE BACK RETURN,FOB,line comment 646
1487,146,10,4,13,31511.62,0.02,A,F,12/29/1998,10/15/1994,5/10/1997,TAKE BACK RETURN,AIR,line comment 647
1302,145,2,5,1,55833.66,0.08,R,F,11/1/1998,10/25/1993,1/31/1997,DELIVER IN PERSON,SHIP,line comment 648
1167,117,7,6,38,45511.89,0.06,N,O,11/14/1993,6/3/1994,4/2/1993,DELIVER IN PERSON,MAIL,line comment 649
1183,144,3,7,28,92586.73,0.06,R,O,11/9/1998,5/24/1996,11/19/1993,DELIVER IN PERSON,AIR,line comment 650
740,86,9,1,37,39246.98,0.02,R,O,3/4/1998,3/2/1998,6/17/1998,TAKE BACK RETURN,SHIP,line comment 651
789,155,3,2,46,10286.59,0.02,N,O,4/30/1996,8/16/1994,2/23/1996,DELIVER IN PERSON,FOB,line comment 652
363,42,3,3,46,62520.56,0.02,A,F,12/27/1995,10/1/1996,9/30/1998,DELIVER IN PERSON,TRUCK,line comment 653
271,27,9,4,4,85301.49,0.05,R,F,12/28/1995,3/8/1997,6/15/1998,DELIVER IN PERSON,SHIP,line comment 654
259,94,8,5,28,82007.21,0.02,N,O,8/3/1994,7/23/1993,9/17/1993,TAKE BACK RETURN,MAIL,line comment 655
941,44,4,6,46,94386.47,0.08,N,F,8/5/1993,4/10/1998,12/29/1994,COLLECT COD,FOB,line comment 656
183,125,9,7,40,35038.63,0.05,A,O,8/28/1993,10/22/1994,12/9/1995,TAKE BACK RETURN,MAIL,line comment 657
1111,198,6,1,6,15076.78,0.08,N,F,5/15/1997,9/27/1993,8/30/1993,NONE,FOB,line comment 658
1177,96,1,2,42,73528.46,0,A,O,4/21/1994,3/15/1998,3/24/1994,DELIVER IN PERSON,SHIP,line comment 659
903,14,10,3,12,45371.35,0,N,O,7/21/1995,6/29/1993,5/15/1993,TAKE BACK RETURN,RAIL,line comment 660
526,180,2,4,28,62669.12,0,A,F,6/5/1998,9/2/1996,4/15/1996,COLLECT COD,AIR,line comment 661
845,89,3,5,42,15555.36,0.1,A,F,5/24/1995,2/17/1996,4/19/1998,DELIVER IN PERSON,TRUCK,line comment 662
637,138,2,6,47,10065.85,0.02,N,O,4/9/1995,5/26/1993,11/23/1995,NONE,RAIL,line comment 663
141,120,5,7,10,37504.27,0.08,N,F,1/21/1995,11/29/1997,11/15/1995,COLLECT COD,SHIP,line comment 664
1118,112,1,1,10,44671.43,0,A,F,1/24/1996,1/9/1998,3/5/1995,COLLECT COD,REG AIR,line comment 665
363,82,4,2,17,93608.11,0.04,R,F,5/28/1996,7/21/1997,7/19/1994,DELIVER IN PERSON,SHIP,line comment 666
806,93,8,3,22,6422.24,0.1,A,F,7/25/1993,12/14/1996,11/24/1993,NONE,TRUCK,line comment 667
1108,86,6,4,11,22333.26,0.02,N,O,5/20/1993,7/14/1998,6/21/1996,DELIVER IN PERSON,REG AIR,line comment 668
206,119,9,5,39,11483.62,0.04,R,O,12/8/1993,3/20/1993,8/6/1994,NONE,AIR,line comment 669
1407,180,3,6,19,74167.81,0.1,N,O,8/10/1993,7/22/1997,2/28/1997,COLLECT COD,SHIP,line comment 670
170,171,3,7,18,73592.72,0.01,N,F,1/3/1993,7/9/1996,1/3/1997,DELIVER IN PERSON,RAIL,line comment 671
228,87,4,1,11,90375.88,0,A,O,8/1/1996,11/22/1996,11/30/1995,TAKE BACK RETURN,REG AIR,line comment 672
1009,26,8,2,40,36254.56,0.1,A,O,6/29/1993,6/13/1994,3/15/1998,DELIVER IN PERSON,SHIP,line comment 673
1365,193,2,3,46,78226.17,0.06,N,O,8/3/1995,5/28/1997,3/25/1996,COLLECT COD,SHIP,line comment 674
7,72,6,4,50,75958.31,0.04,N,O,5/1/1994,5/29/1995,10/21/1997,DELIVER IN PERSON,FOB,line comment 675
1112,77,10,5,40,73602.82,0.05,N,O,10/22/1993,10/11/1996,12/15/1994,NONE,SHIP,line comment 676
301,12,6,6,49,78941.95,0.06,R,O,10/26/1996,5/17/1993,8/31/1993,TAKE BACK RETURN,TRUCK,line comment 677
1170,110,9,7,37,98766.33,0,N,O,6/18/1997,5/4/1997,12/5/1997,TAKE BACK RETURN,SHIP,line comment 678
547,178,3,1,3,81881.48,0.04,A,O,8/14/1998,3/5/1995,3/29/1996,NONE,FOB,line comment 679
6,101,8,2,45,101118.9,0.06,R,F,3/26/1993,10/6/1994,9/30/1996,NONE,RAIL,line comment 680
1011,55,7,3,14,17618.77,0.06,R,F,10/26/1993,6/17/1994,5/22/1997,COLLECT COD,SHIP,line comment 681
1286,48,10,4,7,48698.33,0.05,A,O,9/8/1993,6/16/1995,6/26/1995,NONE,SHIP,line comment 682
1318,108,1,5,7,8156.86,0,R,O,6/13/1993,1/24/1993,8/23/1997,NONE,MAIL,line comment 683
805,114,4,6,1,16660.12,0.01,N,O,4/22/1997,2/28/1996,10/2/1996,TAKE BACK RETURN,SHIP,line comment 684
180,44,10,7,49,92095.38,0.1,A,F,2/2/1995,6/30/1996,11/18/1994,TAKE BACK RETURN,RAIL,line comment 685
18,178,3,1,15,100085.79,0.04,R,F,1/4/1995,12/19/1996,11/3/1998,COLLECT COD,RAIL,line comment 686
3,114,2,2,17,48965.25,0.1,N,F,6/1/1994,10/26/1994,7/14/1995,DELIVER IN PERSON,MAIL,line comment 687
139,91,9,3,13,45792.28,0.02,N,F,12/2/1994,1/18/1993,2/8/1997,DELIVER IN PERSON,TRUCK,line comment 688
681,141,9,4,7,81310.11,0.08,N,F,3/2/1997,3/15/1998,4/11/1998,COLLECT COD,REG AIR,line comment 689
485,123,9,5,45,10701.13,0,A,O,10/23/1996,10/3/1993,3/18/1997,COLLECT COD,FOB,line comment 690
680,80,1,6,38,50801.53,0.02,A,O,2/5/1996,10/6/1998,7/20/1994,COLLECT COD,REG AIR,line comment 691
1129,55,10,7,49,50508.13,0,R,O,12/29/1994,7/26/1995,7/9/1994,COLLECT COD,RAIL,line comment 692
1342,55,3,1,17,10127.21,0.05,A,O,2/16/1996,9/28/1993,9/23/1997,NONE,FOB,line comment 693
262,10,4,2,39,74831.71,0,N,F,2/23/1993,9/4/1994,6/17/1995,COLLECT COD,MAIL,line comment 694
500,96,4,3,46,46568.24,0.06,N,O,2/27/1994,8/24/1998,1/19/1994,TAKE BACK RETURN,SHIP,line comment 695
1398,15,6,4,4,43264.79,0.08,A,O,1/12/1993,12/8/1997,2/15/1998,TAKE BACK RETURN,SHIP,line comment 696
271,197,2,5,26,94866.86,0.01,A,O,7/8/1995,10/26/1994,1/3/1994,TAKE BACK RETURN,REG AIR,line comment 697
775,156,1,6,44,102690.06,0.01,N,O,5/7/1996,5/4/1994,4/30/1993,NONE,MAIL,line comment 698
803,42,3,7,48,57213.13,0.05,A,O,5/5/1997,4/12/1995,5/1/1994,TAKE BACK RETURN,TRUCK,line comment 699
856,101,8,1,1,53038.12,0.06,N,F,2/18/1997,8/16/1995,6/2/1997,COLLECT COD,RAIL,line comment 700
124,78,10,2,37,54188.69,0.08,R,F,1/21/1997,5/15/1996,5/29/1993,TAKE BACK RETURN,TRUCK,line comment 701
1469,58,10,3,26,102837.43,0.05,R,F,2/12/1995,2/4/1993,5/23/1996,TAKE BACK RETURN,MAIL,line comment 702
889,31,2,4,30,20645.85,0.02,R,O,7/6/1994,11/14/1995,6/6/1995,TAKE BACK RETURN,REG AIR,line comment 703
546,173,3,5,9,96588.04,0.06,N,O,8/6/1996,12/27/1998,7/13/1998,DELIVER IN PERSON,REG AIR,line comment 704
1457,22,10,6,40,97698.25,0.02,A,F,6/28/1996,12/16/1995,6/23/1995,COLLECT COD,FOB,line comment 705
383,94,1,7,22,84660.04,0.02,R,O,3/3/1998,7/11/1995,10/3/1995,NONE,MAIL,line comment 706
1447,94,9,1,3,85067.79,0.04,R,F,11/19/1993,4/25/1993,3/12/1997,NONE,SHIP,line comment 707
1023,85,8,2,30,81888.57,0.08,R,F,1/6/1996,10/6/1996,3/28/1995,NONE,MAIL,line comment 708
792,187,10,3,28,39473.29,0.1,A,F,5/29/1997,9/18/1993,10/31/1997,COLLECT COD,SHIP,line comment 709
46,138,1,4,9,9128.13,0.06,A,F,2/24/1997,6/8/1996,9/12/1998,DELIVER IN PERSON,AIR,line comment 710
662,96,10,5,22,20187.2,0.08,R,F,8/8/1994,5/22/1996,1/4/1998,COLLECT COD,RAIL,line comment 711
754,199,10,6,16,2309.49,0.05,N,F,9/9/1995,1/14/1995,4/26/1997,DELIVER IN PERSON,AIR,line comment 712
508,41,7,7,19,6377.1,0.05,N,F,3/12/1995,7/21/1996,6/19/1996,COLLECT COD,REG AIR,line comment 713
463,27,1,1,4,48014.38,0.08,N,O,2/19/1998,7/24/1998,12/15/1998,NONE,MAIL,line comment 714
190,143,5,2,10,97866.4,0.01,R,O,1/4/1998,5/7/1995,1/25/1997,NONE,REG AIR,line comment 715
1394,167,8,3,12,45947.99,0.1,N,O,12/30/1995,7/30/1998,3/6/1995,COLLECT COD,AIR,line comment 716
700,190,3,4,42,98057.61,0,N,F,8/11/1997,3/11/1998,1/30/1998,COLLECT COD,FOB,line comment 717
400,120,1,5,28,42551.74,0.06,N,F,2/11/1995,9/11/1993,7/11/1993,NONE,AIR,line comment 718
667,167,9,6,10,85562.51,0.01,A,O,2/14/1997,5/29/1993,4/14/1993,COLLECT COD,TRUCK,line comment 719
382,82,8,7,44,19439.77,0.02,A,O,6/20/1996,5/7/1994,10/9/1997,DELIVER IN PERSON,FOB,line comment 720
1084,161,2,1,20,24489.09,0.01,R,O,6/19/1997,5/24/1993,3/24/1995,DELIVER IN PERSON,MAIL,line comment 721
801,46,1,2,25,65664.3,0.06,A,O,10/24/1998,6/9/1998,10/6/1995,NONE,MAIL,line comment 722
304,44,3,3,47,39765.68,0.06,A,F,8/20/1995,7/19/1995,2/18/1995,COLLECT COD,RAIL,line comment 723
462,34,4,4,19,38731.6,0.1,R,F,12/21/1996,12/23/1993,9/9/1998,NONE,RAIL,line comment 724
94,131,3,5,31,42217.84,0,R,F,2/24/1998,5/10/1994,9/3/1998,COLLECT COD,AIR,line comment 725
256,40,7,6,13,40556.89,0.01,N,F,7/6/1998,6/30/1995,1/20/1995,DELIVER IN PERSON,AIR,line comment 726
529,200,7,7,32,70220.26,0.08,R,O,12/28/1998,8/21/1996,12/18/1997,NONE,MAIL,line comment 727
331,183,9,1,10,22731.79,0.04,N,O,8/4/1994,4/11/1996,11/6/1995,COLLECT COD,SHIP,line comment 728
725,104,1,2,36,103950.03,0.02,R,O,1/2/1995,10/14/1996,5/15/1995,NONE,REG AIR,line comment 729
137,166,2,3,4,94567.7,0.04,A,O,9/30/1995,1/18/1996,6/14/1997,TAKE BACK RETURN,SHIP,line comment 730
470,144,5,4,7,87019.39,0,N,F,7/15/1996,9/1/1994,2/25/1993,DELIVER IN PERSON,MAIL,line comment 731
588,170,7,5,50,40997.41,0.08,N,F,9/15/1998,2/5/1997,5/1/1997,DELIVER IN PERSON,SHIP,line comment 732
653,65,10,6,47,29706.12,0.1,N,O,1/20/1997,10/3/1993,2/17/1997,DELIVER IN PERSON,TRUCK,line comment 733
676,110,5,7,47,28750.87,0.01,N,O,11/2/1996,3/20/1997,5/17/1995,NONE,TRUCK,line comment 734
2,36,1,1,36,52576.55,0.02,R,O,5/9/1998,11/16/1997,10/11/1994,DELIVER IN PERSON,RAIL,line comment 735
1493,170,2,2,40,91098.57,0.1,N,F,7/11/1994,10/28/1993,4/7/1995,COLLECT COD,AIR,line comment 736
1161,166,8,3,46,45641.13,0.08,R,O,12/19/1998,11/14/1998,4/28/1998,COLLECT COD,RAIL,line comment 737
1233,198,3,4,11,45263.01,0.1,N,F,11/24/1993,5/14/1997,4/26/1993,TAKE BACK RETURN,SHIP,line comment 738
722,61,4,5,45,60913.5,0.1,A,F,9/18/1997,4/12/1995,4/18/1994,DELIVER IN PERSON,REG AIR,line comment 739
1050,173,10,6,50,40671.16,0.05,A,F,5/7/1993,1/15/1995,8/14/1995,DELIVER IN PERSON,MAIL,line comment 740
715,125,7,7,3,17396.04,0.01,R,F,4/7/1993,2/12/1998,3/9/1996,TAKE BACK RETURN,RAIL,line comment 741
811,79,5,1,46,6096.43,0.02,A,F,3/17/1998,7/27/1998,7/1/1997,NONE,FOB,line comment 742
413,99,6,2,29,62610.58,0.05,R,O,9/16/1997,11/19/1995,9/16/1996,DELIVER IN PERSON,RAIL,line comment 743
408,10,10,3,27,26315.66,0.06,A,F,4/11/1998,1/21/1996,10/14/1997,COLLECT COD,TRUCK,line comment 744
457,83,4,4,29,9128.08,0.06,N,F,4/7/1997,3/24/1998,2/2/1993,COLLECT COD,SHIP,line comment 745
1382,53,7,5,23,12358.19,0.02,R,O,8/21/1997,11/17/1993,7/10/1996,NONE,FOB,line comment 746
715,73,7,6,40,89336.15,0.06,A,F,5/31/1997,10/13/1995,5/7/1996,NONE,AIR,line comment 747
1453,66,2,7,17,91908.27,0.05,R,O,6/13/1996,6/9/1997,9/29/1995,COLLECT COD,AIR,line comment 748
584,58,10,1,46,99201.24,0.05,R,F,1/21/1998,12/17/1995,3/12/1993,COLLECT COD,MAIL,line comment 749
263,155,8,2,15,5867.79,0.06,A,O,9/17/1997,12/24/1998,11/10/1998,NONE,RAIL,line comment 750
265,16,3,3,16,17307.99,0,N,F,12/30/1997,6/27/1993,5/16/1998,NONE,SHIP,line comment 751
690,121,10,4,34,37083.14,0.05,N,O,2/26/1997,6/2/1993,9/29/1995,DELIVER IN PERSON,RAIL,line comment 752
132,38,10,5,20,29840.22,0.08,N,O,4/12/1997,4/23/1993,8/3/1994,NONE,RAIL,line comment 753
806,92,9,6,9,81932.59,0.04,A,F,9/27/1996,2/19/1995,9/16/1996,NONE,REG AIR,line comment 754
162,147,10,7,44,88258.6,0,N,O,10/29/1997,12/6/1995,1/16/1997,NONE,MAIL,line comment 755
174,19,4,1,17,73294.14,0.08,A,F,6/26/1995,7/16/1993,4/19/1995,NONE,MAIL,line comment 756
510,50,5,2,13,87138.05,0.02,R,F,5/18/1993,1/21/1995,12/22/1995,TAKE BACK RETURN,MAIL,line comment 757
1463,149,7,3,42,12114.66,0.05,A,F,1/21/1998,4/25/1993,5/14/1993,NONE,REG AIR,line comment 758
314,168,2,4,46,94252.24,0.05,A,F,7/25/1993,11/30/1997,3/17/1996,DELIVER IN PERSON,TRUCK,line comment 759
653,15,3,5,17,20495.08,0,N,F,5/2/1995,7/12/1993,11/1/1994,COLLECT COD,AIR,line comment 760
693,47,8,6,36,64318.68,0.05,R,O,5/20/1997,3/26/1995,4/4/1995,COLLECT COD,FOB,line comment 761
34,35,6,7,10,65786.46,0.04,R,O,7/13/1994,6/2/1995,4/18/1995,DELIVER IN PERSON,MAIL,line comment 762
904,18,2,1,2,23734.77,0.05,A,F,4/3/1998,2/12/1998,2/4/1997,DELIVER IN PERSON,TRUCK,line comment 763
646,64,1,2,28,15674.52,0.1,N,F,11/23/1996,2/25/1997,5/13/1995,DELIVER IN PERSON,RAIL,line comment 764
482,8,4,3,12,95609.97,0.05,R,O,11/30/1994,7/11/1993,6/5/1994,NONE,TRUCK,line comment 765
1470,42,3,4,5,99388.32,0,A,O,2/4/1998,4/13/1996,8/2/1993,NONE,RAIL,line comment 766
1495,199,2,5,29,85630.43,0.08,R,F,3/10/1998,8/8/1996,12/3/1995,TAKE BACK RETURN,RAIL,line comment 767
792,93,9,6,40,82751.95,0.02,N,F,7/24/1993,9/24/1994,4/6/1998,COLLECT COD,SHIP,line comment 768
649,154,1,7,33,91653.43,0.01,A,F,9/30/1994,4/28/1997,6/3/1997,NONE,REG AIR,line comment 769
511,161,4,1,17,96090.99,0.02,R,O,6/12/1998,2/3/1995,2/13/1994,COLLECT COD,RAIL,line comment 770
