orderkey,partkey,suppkey,linenumber,quantity,extendedprice,sale,tax,returnflag,linestatus,shipdate,commitdate,receiptdate,shipinstruct,shipmode,comment,surcharge
302,59,2,2,49,16360.53,0.01,0.06,N,F,12/15/1998,10/19/1998,11/27/1993,DELIVER IN PERSON,REG AIR,line comment 1807,100.99
334,105,6,3,1,100799.87,0.08,0.02,R,F,6/26/1996,6/9/1995,9/23/1996,NONE,FOB,line comment 1808,100.99
855,55,5,4,31,47895.07,0.05,0.04,A,O,6/7/1994,3/12/1995,7/17/1998,COLLECT COD,SHIP,line comment 1809,100.99
415,84,2,5,20,31639.25,0.02,0.02,N,F,8/11/1996,11/27/1998,2/4/1995,DELIVER IN PERSON,SHIP,line comment 1810,100.99
472,142,9,6,3,103379.35,0.05,0.04,N,F,2/6/1997,10/13/1994,1/30/1993,NONE,TRUCK,line comment 1811,100.99
1091,33,9,7,26,50096.41,0.08,0.06,A,F,7/1/1993,5/10/1996,8/7/1996,TAKE BACK RETURN,RAIL,line comment 1812,100.99
426,19,4,1,47,70106.41,0,0.06,A,F,7/7/1996,1/14/1997,2/16/1995,DELIVER IN PERSON,SHIP,line comment 1813,100.99
196,169,1,2,50,78944.31,0.02,0.06,R,F,6/10/1994,12/3/1993,11/19/1995,NONE,MAIL,line comment 1814,100.99
168,72,5,3,1,67031.09,0.01,0,R,O,5/7/1997,4/14/1997,6/6/1996,NONE,REG AIR,line comment 1815,100.99
1219,157,8,4,30,33352,0.04,0.02,N,O,10/11/1993,1/24/1997,7/18/1995,COLLECT COD,AIR,line comment 1816,100.99
1261,120,1,5,16,93209.41,0.1,0.02,N,O,11/6/1997,7/7/1993,4/24/1995,NONE,MAIL,line comment 1817,100.99
1130,184,7,6,19,32273.98,0.1,0.04,A,O,12/28/1996,12/14/1998,11/15/1998,DELIVER IN PERSON,AIR,line comment 1818,100.99
751,147,10,7,31,54146.07,0,0.02,N,F,4/19/1994,11/12/1995,6/10/1995,TAKE BACK RETURN,TRUCK,line comment 1819,100.99
432,55,2,1,15,54482.53,0.1,0.04,N,O,7/4/1993,2/2/1995,7/28/1995,NONE,SHIP,line comment 1820,100.99
923,53,2,2,36,5161.6,0.1,0,R,O,4/2/1996,6/12/1997,3/13/1998,NONE,TRUCK,line comment 1821,100.99
941,5,4,3,31,76134.09,0.1,0.04,R,F,1/27/1993,8/11/1997,12/17/1996,TAKE BACK RETURN,RAIL,line comment 1822,100.99
332,141,3,4,1,70843.47,0.1,0.06,N,O,7/25/1994,6/5/1994,5/11/1994,COLLECT COD,AIR,line comment 1823,100.99
902,35,7,5,33,44115.93,0.02,0.06,R,O,12/8/1995,4/24/1995,3/21/1995,DELIVER IN PERSON,SHIP,line comment 1824,100.99
1357,195,1,6,47,81980.72,0.08,0.08,R,F,11/12/1994,6/15/1997,5/13/1993,NONE,FOB,line comment 1825,100.99
517,168,5,7,23,103757.28,0.01,0.02,N,F,4/9/1995,11/5/1998,2/10/1996,DELIVER IN PERSON,RAIL,line comment 1826,100.99
316,67,3,1,34,69346.57,0.08,0.04,N,O,2/6/1994,5/12/1997,8/21/1995,TAKE BACK RETURN,FOB,line comment 1827,100.99
771,65,9,2,44,10092.63,0,0.04,N,O,7/13/1995,8/10/1997,10/16/1996,NONE,SHIP,line comment 1828,100.99
342,19,10,3,48,103375.45,0.06,0.08,N,F,11/23/1995,3/20/1995,3/4/1994,COLLECT COD,AIR,line comment 1829,100.99
364,126,7,4,27,21025.48,0.08,0.04,R,F,7/27/1998,10/30/1998,7/10/1998,TAKE BACK RETURN,TRUCK,line comment 1830,100.99
148,54,5,5,24,59995.83,0.06,0.08,N,F,10/8/1997,11/19/1995,10/26/1993,NONE,MAIL,line comment 1831,100.99
367,111,8,6,50,85599.36,0,0.08,N,O,5/4/1996,4/2/1995,2/23/1993,TAKE BACK RETURN,AIR,line comment 1832,100.99
154,21,4,7,26,12863.82,0,0,A,O,1/20/1994,10/1/1996,6/15/1996,DELIVER IN PERSON,SHIP,line comment 1833,100.99
1023,159,3,1,19,19985.75,0.04,0.06,N,F,10/26/1995,2/22/1993,12/23/1993,DELIVER IN PERSON,AIR,line comment 1834,100.99
513,118,10,2,47,55481.97,0.08,0,N,F,4/24/1997,1/2/1994,11/4/1996,TAKE BACK RETURN,MAIL,line comment 1835,100.99
1256,147,7,3,34,69727.05,0,0.06,R,O,2/4/1998,5/5/1997,1/26/1998,COLLECT COD,RAIL,line comment 1836,100.99
397,118,3,4,38,71194.57,0.01,0,R,F,1/13/1995,7/6/1995,12/12/1994,DELIVER IN PERSON,SHIP,line comment 1837,100.99
744,159,8,5,33,83977.54,0.1,0.02,N,F,12/30/1995,1/22/1997,12/24/1997,COLLECT COD,MAIL,line comment 1838,100.99
237,175,6,6,50,92093.97,0.1,0,R,O,5/1/1994,3/26/1998,8/7/1998,COLLECT COD,REG AIR,line comment 1839,100.99
1041,88,7,7,12,76872.88,0.08,0,A,F,10/3/1997,9/15/1993,5/24/1993,NONE,REG AIR,line comment 1840,100.99
981,152,5,1,39,50249.12,0.06,0.08,N,O,3/31/1997,8/10/1997,1/27/1996,NONE,TRUCK,line comment 1841,100.99
811,127,7,2,4,18402.9,0.04,0.02,R,F,7/1/1998,12/17/1995,10/3/1996,TAKE BACK RETURN,REG AIR,line comment 1842,100.99
907,191,2,3,48,41192.95,0.05,0.08,R,F,12/22/1995,9/5/1995,2/1/1996,TAKE BACK RETURN,SHIP,line comment 1843,100.99
747,62,8,4,21,68300.93,0.02,0.04,R,O,4/7/1993,1/23/1993,1/23/1996,TAKE BACK RETURN,SHIP,line comment 1844,100.99
486,113,6,5,15,67667.09,0.05,0.04,R,O,4/21/1993,5/29/1998,11/21/1998,DELIVER IN PERSON,SHIP,line comment 1845,100.99
826,149,4,6,15,56264.56,0.04,0.08,N,O,3/4/1997,10/12/1995,7/26/1997,TAKE BACK RETURN,SHIP,line comment 1846,100.99
454,118,4,7,48,55511.86,0.05,0,N,F,4/29/1998,12/24/1993,12/11/1996,DELIVER IN PERSON,REG AIR,line comment 1847,100.99
212,12,3,1,25,23626.96,0.05,0,R,F,7/11/1996,10/17/1998,8/2/1995,TAKE BACK RETURN,REG AIR,line comment 1848,100.99
957,72,7,2,38,45837.24,0.04,0.04,R,F,6/5/1997,11/4/1997,6/2/1993,COLLECT COD,MAIL,line comment 1849,100.99
542,29,6,3,9,94901.78,0.04,0.08,A,O,4/28/1998,8/8/1993,3/7/1996,DELIVER IN PERSON,RAIL,line comment 1850,100.99
990,137,2,4,6,3100.48,0.1,0.06,A,F,7/3/1993,4/16/1994,5/24/1997,NONE,FOB,line comment 1851,100.99
415,133,4,5,17,62487.1,0.1,0.06,N,O,4/7/1998,10/16/1997,12/24/1993,NONE,SHIP,line comment 1852,100.99
1446,122,9,6,14,93446.91,0.1,0.04,A,O,1/10/1996,10/30/1996,4/4/1993,NONE,REG AIR,line comment 1853,100.99
381,195,8,7,49,80865.96,0.02,0.06,N,F,5/10/1993,12/3/1998,4/11/1998,NONE,TRUCK,line comment 1854,100.99
328,154,3,1,49,49849.83,0.1,0,N,F,5/6/1994,1/24/1994,6/14/1995,DELIVER IN PERSON,MAIL,line comment 1855,100.99
610,173,2,2,13,52090.96,0.05,0.04,A,O,11/4/1998,10/15/1995,8/3/1998,TAKE BACK RETURN,FOB,line comment 1856,100.99
92,161,7,3,29,1834.53,0,0.06,A,F,9/28/1993,5/3/1994,5/3/1993,TAKE BACK RETURN,SHIP,line comment 1857,100.99
1102,175,5,4,3,52504.43,0.1,0.08,R,F,4/20/1995,9/30/1998,3/15/1995,DELIVER IN PERSON,MAIL,line comment 1858,100.99
887,85,5,5,17,54750.52,0.06,0.06,A,O,5/23/1995,4/7/1996,12/11/1995,COLLECT COD,TRUCK,line comment 1859,100.99
926,142,9,6,12,54389.27,0,0.02,N,F,4/28/1994,11/16/1995,10/4/1995,DELIVER IN PERSON,TRUCK,line comment 1860,100.99
547,67,5,7,32,78334.62,0.06,0.08,N,F,8/21/1998,6/3/1995,4/9/1993,COLLECT COD,MAIL,line comment 1861,100.99
1461,88,3,1,41,4403.81,0.06,0.06,R,O,1/21/1993,5/24/1994,1/21/1997,COLLECT COD,MAIL,line comment 1862,100.99
781,51,4,2,42,4829.36,0.02,0.08,N,O,7/6/1997,10/5/1995,1/7/1997,TAKE BACK RETURN,SHIP,line comment 1863,100.99
1224,165,10,3,17,101729.98,0.04,0,N,F,12/8/1997,2/2/1996,9/4/1993,COLLECT COD,REG AIR,line comment 1864,100.99
299,161,10,4,30,22592.38,0.02,0,R,O,4/27/1994,1/18/1994,8/29/1996,DELIVER IN PERSON,RAIL,line comment 1865,100.99
1434,10,7,5,19,14220.78,0.01,0.08,A,O,7/28/1994,8/16/1993,5/17/1996,DELIVER IN PERSON,AIR,line comment 1866,100.99
609,136,5,6,45,4285.02,0.04,0,A,F,11/20/1996,6/10/1995,10/16/1998,NONE,TRUCK,line comment 1867,100.99
308,70,6,7,49,86694.91,0.1,0.02,A,F,11/23/1998,8/28/1995,11/26/1998,DELIVER IN PERSON,SHIP,line comment 1868,100.99
1056,36,7,1,6,56648.34,0.1,0.02,R,O,2/9/1995,12/25/1996,2/8/1994,NONE,MAIL,line comment 1869,100.99
1078,170,2,2,24,38891.75,0.1,0.06,R,F,12/3/1998,6/18/1993,9/26/1995,DELIVER IN PERSON,FOB,line comment 1870,100.99
1028,117,7,3,8,60748.26,0.06,0.04,N,F,12/9/1995,3/3/1993,4/19/1996,NONE,FOB,line comment 1871,100.99
1172,35,5,4,48,12879.14,0.06,0,R,F,9/22/1998,4/4/1996,6/18/1993,COLLECT COD,SHIP,line comment 1872,100.99
710,91,10,5,2,47058.63,0.08,0.08,A,O,1/19/1997,2/17/1997,9/24/1996,DELIVER IN PERSON,AIR,line comment 1873,100.99
899,199,6,6,4,53735.51,0.02,0.02,R,F,1/4/1998,1/26/1998,7/28/1998,TAKE BACK RETURN,SHIP,line comment 1874,100.99
1451,31,3,7,24,60668.81,0.02,0.04,N,F,3/8/1996,8/31/1994,3/27/1996,COLLECT COD,TRUCK,line comment 1875,100.99
128,182,5,1,39,49796.96,0,0,R,F,7/15/1998,3/10/1996,6/25/1996,TAKE BACK RETURN,TRUCK,line comment 1876,100.99
272,51,10,2,17,96836.49,0.01,0.06,R,F,10/13/1997,6/25/1998,4/26/1994,COLLECT COD,SHIP,line comment 1877,100.99
923,111,8,3,24,61886.14,0.06,0,R,O,11/23/1994,3/19/1997,5/18/1996,DELIVER IN PERSON,AIR,line comment 1878,100.99
1392,124,7,4,10,95717.29,0.02,0.06,R,O,8/28/1994,9/15/1993,3/5/1996,NONE,RAIL,line comment 1879,100.99
1305,13,1,5,45,66203.35,0.05,0,R,F,7/27/1998,2/2/1997,10/9/1996,COLLECT COD,AIR,line comment 1880,100.99
384,32,7,6,19,37649.65,0.06,0.04,A,O,11/18/1997,4/14/1995,3/8/1997,TAKE BACK RETURN,REG AIR,line comment 1881,100.99
16,78,10,7,49,44040.41,0,0.08,N,O,12/29/1996,8/22/1998,9/6/1997,DELIVER IN PERSON,SHIP,line comment 1882,100.99
1394,121,9,1,13,9167.57,0.01,0.04,R,O,9/12/1996,1/18/1994,2/15/1998,COLLECT COD,MAIL,line comment 1883,100.99
141,172,7,2,26,58750.55,0,0.08,N,F,9/21/1995,4/11/1993,12/27/1993,DELIVER IN PERSON,SHIP,line comment 1884,100.99
191,28,6,3,24,83105.25,0.04,0.08,N,O,11/17/1993,6/29/1993,10/25/1994,TAKE BACK RETURN,SHIP,line comment 1885,100.99
1169,111,4,4,4,4331.39,0.04,0.02,R,O,6/9/1995,1/28/1995,1/10/1993,COLLECT COD,FOB,line comment 1886,100.99
1260,55,9,5,36,67105.09,0.02,0,R,F,12/21/1998,1/17/1998,10/30/1998,DELIVER IN PERSON,AIR,line comment 1887,100.99
509,192,5,6,49,43790.88,0.1,0.06,N,O,7/14/1997,8/11/1995,5/9/1996,DELIVER IN PERSON,MAIL,line comment 1888,100.99
985,72,3,7,19,20289.5,0.08,0.06,A,F,4/11/1996,6/11/1996,1/31/1996,DELIVER IN PERSON,SHIP,line comment 1889,100.99
1228,112,7,1,30,68349.8,0.04,0.02,N,F,7/21/1998,9/2/1996,10/24/1998,DELIVER IN PERSON,REG AIR,line comment 1890,100.99
1249,146,3,2,45,58092.76,0.1,0.04,R,F,1/22/1996,11/27/1998,1/1/1998,DELIVER IN PERSON,SHIP,line comment 1891,100.99
511,24,6,3,17,40857.51,0.04,0.08,R,F,10/3/1996,7/11/1997,6/27/1996,COLLECT COD,MAIL,line comment 1892,100.99
1138,145,7,4,40,29945.43,0.02,0.06,R,F,2/15/1993,5/19/1997,9/10/1997,DELIVER IN PERSON,RAIL,line comment 1893,100.99
498,171,3,5,43,103530.04,0.02,0.02,R,F,8/21/1994,7/3/1998,7/17/1994,COLLECT COD,RAIL,line comment 1894,100.99
110,100,2,6,15,49565.27,0.04,0.06,N,F,1/11/1996,7/8/1998,5/17/1996,NONE,TRUCK,line comment 1895,100.99
1197,99,6,7,33,26351.41,0.05,0.04,A,F,9/4/1996,6/24/1997,3/4/1997,TAKE BACK RETURN,FOB,line comment 1896,100.99
691,18,3,1,25,59336.82,0,0,R,F,12/15/1996,10/5/1997,12/6/1995,NONE,FOB,line comment 1897,100.99
957,10,6,2,17,23253.64,0.08,0.02,R,O,11/10/1994,11/12/1995,11/15/1997,NONE,MAIL,line comment 1898,100.99
598,39,2,3,17,84102.14,0.02,0,A,F,9/9/1993,12/20/1997,10/22/1995,TAKE BACK RETURN,REG AIR,line comment 1899,100.99
668,22,10,4,7,90951,0.02,0,N,F,10/20/1995,3/30/1993,10/25/1996,TAKE BACK RETURN,SHIP,line comment 1900,100.99
102,140,2,5,41,11438.36,0.04,0.04,A,F,8/1/1996,2/8/1995,1/31/1995,COLLECT COD,REG AIR,line comment 1901,100.99
1455,53,3,6,37,52998.28,0.1,0.06,R,O,8/10/1997,2/18/1996,6/12/1994,COLLECT COD,MAIL,line comment 1902,100.99
1261,20,8,7,36,10866.8,0.08,0,N,O,9/2/1998,1/29/1997,9/11/1994,COLLECT COD,FOB,line comment 1903,100.99
1189,197,7,1,6,55915.9,0.06,0.06,R,O,4/25/1996,9/29/1996,6/28/1994,TAKE BACK RETURN,RAIL,line comment 1904,100.99
594,56,6,2,46,19648.8,0.08,0,A,O,4/9/1994,7/3/1993,7/2/1996,DELIVER IN PERSON,REG AIR,line comment 1905,100.99
83,110,2,3,31,50753.98,0.06,0,N,O,6/24/1995,7/28/1994,3/22/1994,TAKE BACK RETURN,FOB,line comment 1906,100.99
226,73,8,4,38,48323.32,0.06,0.02,N,O,2/27/1998,6/29/1993,3/6/1996,COLLECT COD,RAIL,line comment 1907,100.99
368,106,7,5,40,14037.24,0.05,0.02,R,F,12/23/1993,6/19/1997,6/27/1993,COLLECT COD,MAIL,line comment 1908,100.99
1045,6,7,6,13,42697.53,0.08,0.04,N,F,10/23/1996,2/2/1998,8/27/1996,NONE,SHIP,line comment 1909,100.99
830,162,8,7,10,44703.63,0.02,0,A,O,9/19/1995,8/13/1994,2/6/1998,NONE,RAIL,line comment 1910,100.99
86,110,10,1,1,1701.56,0.06,0.06,N,F,6/20/1998,3/9/1998,11/8/1993,DELIVER IN PERSON,MAIL,line comment 1911,100.99
1410,154,4,2,6,73508.62,0.01,0.06,N,O,2/2/1998,2/3/1997,2/8/1995,COLLECT COD,AIR,line comment 1912,100.99
1085,73,10,3,45,96526.46,0,0.04,A,F,1/22/1996,12/2/1993,9/11/1997,NONE,TRUCK,line comment 1913,100.99
222,181,9,4,4,94168.81,0.05,0.02,N,O,8/19/1994,8/29/1994,1/17/1996,COLLECT COD,TRUCK,line comment 1914,100.99
1175,7,3,5,44,28480.19,0.06,0.04,A,O,3/29/1994,6/1/1996,10/9/1993,DELIVER IN PERSON,SHIP,line comment 1915,100.99
103,156,4,6,46,32612.52,0,0.04,N,F,2/8/1994,5/22/1997,2/4/1997,COLLECT COD,MAIL,line comment 1916,100.99
988,182,6,7,27,22030.76,0.04,0,A,F,7/17/1996,3/4/1995,3/22/1998,DELIVER IN PERSON,RAIL,line comment 1917,100.99
540,60,8,1,37,86182.68,0.05,0,R,O,7/20/1997,8/24/1994,1/28/1994,TAKE BACK RETURN,RAIL,line comment 1918,100.99
699,181,10,2,48,28947.15,0,0,N,O,1/24/1995,5/20/1995,4/12/1998,DELIVER IN PERSON,TRUCK,line comment 1919,100.99
223,117,7,3,42,88361.06,0.06,0.06,A,F,12/8/1998,3/16/1997,5/31/1993,NONE,FOB,line comment 1920,100.99
63,196,2,4,7,52257.07,0.04,0.08,N,F,9/6/1995,1/27/1997,12/10/1993,TAKE BACK RETURN,FOB,line comment 1921,100.99
1206,55,7,5,50,57939.82,0.04,0,R,F,6/23/1998,4/25/1993,10/28/1998,NONE,REG AIR,line comment 1922,100.99
306,190,6,6,20,5390.84,0.06,0.04,A,O,12/24/1996,2/18/1997,3/29/1998,DELIVER IN PERSON,REG AIR,line comment 1923,100.99
1181,67,7,7,32,89601.78,0.08,0.04,N,O,1/28/1993,4/5/1998,8/5/1996,TAKE BACK RETURN,MAIL,line comment 1924,100.99
1190,170,3,1,42,98893.46,0.02,0.06,R,O,3/30/1994,6/12/1994,4/18/1997,DELIVER IN PERSON,RAIL,line comment 1925,100.99
1242,57,7,2,36,46277.25,0,0,N,O,4/19/1993,2/15/1996,1/15/1993,DELIVER IN PERSON,REG AIR,line comment 1926,100.99
1414,104,3,3,30,5994.15,0.04,0.02,A,O,8/9/1998,11/12/1996,11/16/1998,TAKE BACK RETURN,TRUCK,line comment 1927,100.99
1375,151,8,4,32,89460.82,0,0,N,F,2/11/1996,9/6/1998,6/15/1994,DELIVER IN PERSON,RAIL,line comment 1928,100.99
58,126,8,5,37,35845.35,0.08,0.04,N,F,11/13/1997,1/22/1997,5/18/1997,DELIVER IN PERSON,FOB,line comment 1929,100.99
755,103,4,6,11,16434.29,0.06,0,A,F,4/19/1995,3/2/1996,12/14/1998,COLLECT COD,SHIP,line comment 1930,100.99
957,192,5,7,3,5968.06,0.06,0,A,F,10/5/1997,4/21/1998,2/14/1995,NONE,FOB,line comment 1931,100.99
537,131,8,1,8,58231.21,0.01,0.06,R,F,7/28/1998,1/22/1998,9/5/1995,NONE,AIR,line comment 1932,100.99
443,138,4,2,40,97511.24,0.06,0.08,R,F,6/11/1996,4/8/1998,5/24/1994,COLLECT COD,SHIP,line comment 1933,100.99
127,179,7,3,10,81332.86,0.01,0.08,R,F,3/31/1995,5/20/1994,9/2/1994,TAKE BACK RETURN,AIR,line comment 1934,100.99
1199,148,4,4,32,12546.93,0.01,0.08,N,F,9/18/1997,9/6/1995,6/3/1993,COLLECT COD,REG AIR,line comment 1935,100.99
82,83,7,5,5,26425.1,0.1,0.08,A,O,6/7/1995,10/13/1998,5/10/1998,NONE,MAIL,line comment 1936,100.99
1413,44,1,6,16,35176.57,0.06,0.02,N,F,10/1/1997,7/4/1998,11/5/1995,TAKE BACK RETURN,FOB,line comment 1937,100.99
595,191,6,7,8,12734.27,0.02,0.06,N,F,3/18/1995,8/4/1995,11/8/1994,COLLECT COD,MAIL,line comment 1938,100.99
884,86,1,1,38,23898,0.1,0.06,N,F,9/23/1998,12/5/1997,3/10/1997,DELIVER IN PERSON,SHIP,line comment 1939,100.99
940,77,4,2,21,101353.63,0.1,0.06,N,O,11/20/1993,5/18/1996,5/18/1995,NONE,REG AIR,line comment 1940,100.99
141,177,6,3,21,22375.49,0.04,0.08,R,F,11/10/1993,5/10/1993,7/31/1994,TAKE BACK RETURN,MAIL,line comment 1941,100.99
1212,180,6,4,4,65296.64,0,0.02,R,F,4/8/1997,9/7/1997,2/3/1995,NONE,MAIL,line comment 1942,100.99
944,2,9,5,13,60897.09,0.08,0.08,A,F,3/27/1997,8/22/1996,3/9/1993,TAKE BACK RETURN,FOB,line comment 1943,100.99
124,184,2,6,49,29230.33,0.05,0.04,N,F,3/11/1994,8/21/1994,6/17/1998,TAKE BACK RETURN,SHIP,line comment 1944,100.99
235,1,2,7,40,20976.59,0.05,0.08,A,O,9/8/1994,8/31/1998,8/30/1997,DELIVER IN PERSON,MAIL,line comment 1945,100.99
658,54,9,1,10,80254.86,0.04,0.04,R,O,1/11/1998,2/17/1994,1/1/1994,NONE,REG AIR,line comment 1946,100.99
757,102,1,2,32,4810.59,0.04,0.04,A,O,2/20/1998,8/15/1997,3/18/1996,COLLECT COD,TRUCK,line comment 1947,100.99
853,42,1,3,12,32311.44,0.06,0.04,N,O,3/8/1996,8/3/1995,10/31/1996,NONE,AIR,line comment 1948,100.99
1167,73,1,4,25,65721.44,0.02,0.02,R,O,10/21/1995,12/27/1997,10/6/1995,NONE,MAIL,line comment 1949,100.99
531,121,1,5,18,40951.05,0,0.08,A,O,10/26/1996,9/5/1997,7/27/1993,COLLECT COD,FOB,line comment 1950,100.99
1184,199,6,6,34,89678.89,0.01,0,N,F,12/14/1997,2/17/1995,10/13/1996,COLLECT COD,RAIL,line comment 1951,100.99
350,43,5,7,17,66701.93,0.01,0.02,A,O,1/2/1993,6/21/1998,10/16/1996,TAKE BACK RETURN,RAIL,line comment 1952,100.99
1361,22,9,1,25,54443.64,0.06,0.06,A,F,11/3/1995,1/11/1996,5/15/1994,COLLECT COD,MAIL,line comment 1953,100.99
288,133,6,2,44,21403.97,0.08,0.04,A,O,2/20/1993,9/8/1996,11/1/1997,NONE,FOB,line comment 1954,100.99
1124,44,10,3,8,46603.42,0.01,0.04,N,F,4/24/1998,12/29/1994,5/30/1996,COLLECT COD,MAIL,line comment 1955,100.99
328,147,10,4,6,85642.47,0.01,0,A,F,3/5/1996,8/26/1998,4/8/1994,NONE,RAIL,line comment 1956,100.99
742,178,7,5,19,1611.69,0.01,0.02,A,O,10/4/1998,5/11/1994,3/11/1996,COLLECT COD,TRUCK,line comment 1957,100.99
222,116,5,6,21,16906.66,0.01,0.02,N,O,5/6/1993,7/31/1993,9/4/1998,NONE,REG AIR,line comment 1958,100.99
1279,77,9,7,20,46249.13,0.08,0.06,N,O,1/30/1997,3/13/1998,2/4/1995,DELIVER IN PERSON,MAIL,line comment 1959,100.99
853,80,5,1,43,41020.13,0.06,0.08,A,O,2/21/1994,7/7/1996,2/23/1995,COLLECT COD,REG AIR,line comment 1960,100.99
391,16,9,2,8,59141.62,0,0,R,O,2/7/1994,6/11/1995,2/24/1994,NONE,TRUCK,line comment 1961,100.99
1113,65,1,3,35,80758.64,0.04,0.04,A,O,1/20/1995,8/28/1994,10/29/1995,TAKE BACK RETURN,MAIL,line comment 1962,100.99
21,36,6,4,26,50491.64,0.01,0.02,N,F,10/10/1994,10/13/1994,9/18/1995,TAKE BACK RETURN,TRUCK,line comment 1963,100.99
637,198,3,5,3,85549.1,0.1,0.06,A,O,5/2/1993,7/15/1998,10/14/1997,TAKE BACK RETURN,TRUCK,line comment 1964,100.99
154,11,8,6,20,6290.73,0.1,0.06,A,F,7/4/1994,1/2/1995,4/11/1996,DELIVER IN PERSON,RAIL,line comment 1965,100.99
39,177,10,7,16,87527.87,0,0.04,A,F,10/27/1993,8/16/1994,3/7/1996,TAKE BACK RETURN,AIR,line comment 1966,100.99
593,17,7,1,9,36762.43,0.02,0.06,A,O,11/19/1996,12/30/1994,6/12/1998,TAKE BACK RETURN,AIR,line comment 1967,100.99
1433,48,4,2,47,100111.93,0.04,0.08,A,O,7/30/1996,11/25/1994,9/26/1998,COLLECT COD,TRUCK,line comment 1968,100.99
1057,6,8,3,42,20846.79,0.02,0.06,A,O,10/13/1997,1/29/1996,1/10/1995,COLLECT COD,SHIP,line comment 1969,100.99
1258,155,6,4,30,81359.05,0.04,0,A,O,11/5/1998,10/17/1993,11/27/1993,TAKE BACK RETURN,REG AIR,line comment 1970,100.99
511,80,8,5,38,62619.42,0.01,0.02,A,O,7/29/1996,11/18/1996,1/29/1993,TAKE BACK RETURN,AIR,line comment 1971,100.99
1482,143,9,6,42,1243,0.1,0.04,R,F,1/26/1993,6/25/1997,3/22/1995,NONE,TRUCK,line comment 1972,100.99
487,140,1,7,25,53400.38,0.08,0.02,R,F,10/17/1993,10/26/1993,11/20/1995,NONE,REG AIR,line comment 1973,100.99
1194,86,6,1,23,29815.91,0.02,0.02,N,O,2/27/1997,2/13/1995,5/22/1993,NONE,FOB,line comment 1974,100.99
427,169,6,2,5,37423.5,0.01,0.08,N,O,8/21/1997,4/17/1993,8/10/1997,TAKE BACK RETURN,SHIP,line comment 1975,100.99
824,194,6,3,22,12059.85,0.04,0.06,A,O,7/29/1995,10/4/1996,5/5/1993,NONE,RAIL,line comment 1976,100.99
535,35,7,4,32,25596.37,0.02,0.02,A,F,8/30/1995,8/20/1998,3/25/1998,DELIVER IN PERSON,REG AIR,line comment 1977,100.99
287,133,2,5,13,92830.22,0.02,0.02,R,O,4/4/1994,11/26/1998,8/1/1995,NONE,AIR,line comment 1978,100.99
145,42,8,6,20,71107.27,0.06,0.02,A,F,5/7/1994,9/30/1997,9/28/1995,TAKE BACK RETURN,AIR,line comment 1979,100.99
489,27,1,7,14,8217.86,0.05,0.08,A,F,4/24/1995,10/26/1994,9/14/1995,DELIVER IN PERSON,AIR,line comment 1980,100.99
1379,7,1,1,28,77064.94,0.06,0.08,N,O,11/29/1995,9/18/1998,3/18/1993,COLLECT COD,REG AIR,line comment 1981,100.99
92,34,2,2,27,31890.28,0.06,0,A,O,6/3/1993,6/1/1996,11/7/1993,NONE,RAIL,line comment 1982,100.99
537,109,2,3,35,9977.73,0,0.02,R,F,10/22/1998,12/23/1998,12/31/1997,COLLECT COD,MAIL,line comment 1983,100.99
1362,33,1,4,49,7583.22,0.1,0,R,O,5/9/1995,6/29/1996,7/23/1998,NONE,MAIL,line comment 1984,100.99
89,106,6,5,47,22223.05,0.05,0.02,N,O,3/4/1994,3/27/1993,4/20/1996,TAKE BACK RETURN,RAIL,line comment 1985,100.99
250,61,6,6,5,2147.24,0.05,0,R,F,3/28/1995,2/8/1998,5/27/1996,COLLECT COD,RAIL,line comment 1986,100.99
1223,92,7,7,47,50048.88,0.02,0.02,A,F,8/9/1995,6/19/1994,12/15/1993,TAKE BACK RETURN,TRUCK,line comment 1987,100.99
1006,109,8,1,50,8886.37,0.1,0.08,A,F,2/3/1998,2/28/1997,9/18/1993,COLLECT COD,FOB,line comment 1988,100.99
1243,138,2,2,31,49254.04,0.01,0.02,A,O,5/23/1995,2/13/1998,10/21/1994,DELIVER IN PERSON,SHIP,line comment 1989,100.99
240,151,5,3,33,50485.18,0,0.04,R,F,1/19/1997,8/16/1998,8/6/1997,DELIVER IN PERSON,REG AIR,line comment 1990,100.99
1103,143,1,4,48,83137.56,0.04,0.04,R,F,4/10/1994,6/30/1996,6/14/1993,COLLECT COD,REG AIR,line comment 1991,100.99
1045,85,10,5,41,83657.12,0.06,0.06,N,O,7/30/1996,8/25/1996,9/4/1995,TAKE BACK RETURN,REG AIR,line comment 1992,100.99
483,150,3,6,9,4330.34,0.05,0.04,R,O,2/23/1995,7/19/1996,10/28/1995,DELIVER IN PERSON,TRUCK,line comment 1993,100.99
288,14,8,7,15,54648.29,0.08,0.06,A,O,2/4/1993,12/25/1996,3/19/1995,TAKE BACK RETURN,FOB,line comment 1994,100.99
1398,167,6,1,43,29940.87,0,0.04,A,F,1/10/1997,6/17/1995,8/2/1996,NONE,SHIP,line comment 1995,100.99
934,120,9,2,49,89282.07,0.1,0.08,A,O,8/20/1997,7/9/1994,3/10/1994,DELIVER IN PERSON,REG AIR,line comment 1996,100.99
45,197,10,3,3,48298.09,0.02,0,R,F,2/10/1996,10/6/1993,5/27/1994,COLLECT COD,SHIP,line comment 1997,100.99
